

               Evidence Report               

Name                                    Description                                                                                         
--------------------------------------------------------------------------------------------------------------------------------------------
Autopsy results                         death by head trauma due to two blows received on the head                                          
Bloody hammer                           confirmed to have been the murder weapon                                                            
Harris Sheldon's fingerprints           Fingerprints of Harris Sheldon found on the murder weapon                                           
Tony Sumner's fingerprints              Fingerprints of Tony Sumner found on the murder weapon                                              
Dan Sumner's fingerprints               Fingerprints of Dan Sumner found on the murder weapon                                               
Aura Sheldon's testimony                Harris Sheldon was watching TV with her around 10 PM                                                
Mark Jones' testimony                   Tony Sumner was running shirtless around 10 PM                                                      
Joan Delger's testimony                 Dan Sumner was at the movies with her at 10 PM                                                      
Convenience store owner's testimony     no vehicles passed by that place since 9 PM                                                         
Blood stained T-shirt                   found in the Sumner brothers' house and confirmed to be stained with the blood of the victim        
Joan and Dan's selfie                   selfie taken in the night of the murder, proving Dan Sumner was wearing a gray T-shirt              
